"keys","en","vi"
"UI_MENU_TITLE","Menu","Menu"
"UI_SAVE","Save","Lưu"
"UI_LOAD","Load","Tải"
"UI_NEW_GAME","New Game","Ván Mới"
"UI_RESUME","Resume (Esc)","Tiếp tục (Esc)"
"UI_QUIT_TO_TITLE","Quit to Title","Về Màn Hình Chính"
"UI_SAVED","Saved.","Đã lưu."
"UI_SAVE_FAILED","Save failed — see console.","Lưu thất bại — xem console."
"UI_LOADED","Loaded.","Đã tải."
"UI_LOAD_FAILED","Load failed — see console.","Tải thất bại — xem console."
"UI_STARTED_NEW_GAME","Started a new game.","Đã bắt đầu ván mới."
"UI_TITLE_SCREEN_TITLE","Narrative Sandbox — Milestone 0","Thử Nghiệm Cốt Truyện — Milestone 0"
"UI_TITLE_SCREEN_SUBTITLE","Technical prototype — placeholder content only","Bản dựng kỹ thuật — chỉ chứa nội dung tạm"
"UI_CONTINUE","Continue","Tiếp tục"
"UI_QUIT","Quit","Thoát"
"UI_COULD_NOT_LOAD_SAVE","Could not load save — see console.","Không tải được file lưu — xem console."
"UI_EVIDENCE_BUTTON","Evidence","Vật chứng"
"UI_MENU_BUTTON","Menu","Menu"
"UI_ADVANCE_HINT","▼ click / Enter","▼ nhấp / Enter"
"UI_EXAMINE_SECTION","Examine","Khám xét"
"UI_CHARACTERS_SECTION","Characters","Nhân vật"
"UI_MOVE_SECTION","Move","Di chuyển"
"UI_GO_SOMEWHERE_ELSE","Go somewhere else...","Đi nơi khác..."
"UI_TALK","Talk","Nói chuyện"
"UI_PRESENT_EVIDENCE","Present Evidence","Đưa vật chứng"
"UI_BACK","< Back","< Quay lại"
"UI_TALK_TO_FORMAT","Talk to %s","Nói chuyện với %s"
"UI_NOTHING_TO_TALK_ABOUT","(nothing to talk about yet)","(chưa có gì để nói)"
"UI_READ_SUFFIX"," (read)"," (đã xem)"
"UI_MOVE_TO","Move to...","Di chuyển đến..."
"UI_EVIDENCE_TITLE","Evidence","Vật chứng"
"UI_SELECT_EVIDENCE_TO_PRESENT","Select Evidence to Present","Chọn Vật Chứng Để Đưa Ra"
"UI_CLOSE_ESC","Close (Esc)","Đóng (Esc)"
"UI_NO_EVIDENCE_COLLECTED","(no evidence collected yet)","(chưa thu thập vật chứng nào)"
"UI_NO_EVIDENCE_SELECTED","No evidence selected","Chưa chọn vật chứng"
"UI_PRESENT","Present","Đưa ra"
"UI_EVIDENCE_HINT","Click evidence to inspect it. Esc — Close.","Nhấp vào vật chứng để xem chi tiết. Esc — Đóng."
"UI_LANGUAGE_LABEL","Language","Ngôn ngữ"
"CHAR_CHARACTER_A_NAME","Character A","Nhân Vật A"
"CHAR_CHARACTER_B_NAME","Character B","Nhân Vật B"
"EVID_TEST_KEY_NAME","Old Key","Chìa Khóa Cũ"
"EVID_TEST_KEY_SHORT","A small brass key.","Một chiếc chìa khóa đồng nhỏ."
"EVID_TEST_KEY_DETAIL","A small brass key found on the desk. It looks old, and too small for any door in this building.","Một chiếc chìa khóa đồng nhỏ tìm thấy trên bàn làm việc. Nó trông cũ kỹ, và quá nhỏ để mở bất kỳ cánh cửa nào trong tòa nhà này."
"EVID_TEST_BADGE_NAME","Brass Badge","Huy Hiệu Đồng"
"EVID_TEST_BADGE_SHORT","A tarnished badge.","Một chiếc huy hiệu đã xỉn màu."
