"keys","en","vi"
"CASE_TPL_PARCEL_NAME","[Template] The Customs Parcel","[Mẫu] Kiện Hàng Hải Quan"
"CASE_TPL_PARCEL_DESC","Template chapter: copy it to start a new non-canon core-loop chapter.","Chương mẫu: sao chép để bắt đầu một chương vòng lặp cốt lõi mới, không thuộc cốt truyện."
"CHAPTER_TPL_01_NAME","Template Chapter: The Customs Parcel","Chương mẫu: Kiện Hàng Hải Quan"
"CL_TPL_BRIEFING_TITLE","Briefing — (template)","Tóm tắt vụ việc — (mẫu)"
"CL_TPL_BRIEFING_TEXT","Placeholder briefing: say what happened and what to investigate first.","Tóm tắt tạm: nêu chuyện gì đã xảy ra và cần điều tra gì trước."
"CL_TPL_RESULT_TITLE","Case closed — (template)","Khép lại vụ án — (mẫu)"
"CL_TPL_RESULT_TEXT","Placeholder result lead-in; the findings follow in route order:","Lời dẫn kết quả tạm; các phát hiện theo sau đúng thứ tự:"
"CL_TPL_UNIT_B1_TITLE","Connect the clues: who used the scanner?","Kết nối manh mối: ai đã dùng máy quét?"
"CL_TPL_UNIT_A1_TITLE","Confront Felix","Đối chất với Felix"
"CL_TPL_UNIT_B2_TITLE","Connect the clues: how was the yard entered?","Kết nối manh mối: bãi container bị xâm nhập thế nào?"
"CL_TPL_UNIT_C1_TITLE","Reconstruct the morning","Tái dựng buổi sáng"
"CL_TPL_FINDING_B1","Placeholder finding: someone other than the owner used the scanner.","Phát hiện tạm: một người khác chủ sở hữu đã dùng máy quét."
"CL_TPL_FINDING_A1","Placeholder finding: Felix's denial fell apart.","Phát hiện tạm: lời chối của Felix sụp đổ."
"CL_TPL_FINDING_B2","Placeholder finding: the fence was cut from inside.","Phát hiện tạm: hàng rào bị cắt từ bên trong."
"CL_TPL_FINDING_C1_TIMELINE","Placeholder finding: the facts fit one consistent morning.","Phát hiện tạm: các sự kiện khớp thành một buổi sáng nhất quán."
"CL_TPL_FINDING_C1_CLAIM","Placeholder finding: the last account is ruled out.","Phát hiện tạm: lời kể cuối cùng bị loại trừ."
"CL_TPL_OBJECTIVE_BRIEFING","Read the briefing.","Đọc bản tóm tắt vụ việc."
"CL_TPL_OBJECTIVE_INVESTIGATION_1","Placeholder objective for the first investigation.","Mục tiêu tạm cho đợt điều tra đầu tiên."
"CL_TPL_OBJECTIVE_CONFRONTATION","Placeholder objective for the confrontation.","Mục tiêu tạm cho cuộc đối chất."
"CL_TPL_OBJECTIVE_INVESTIGATION_2","Placeholder objective for the second investigation.","Mục tiêu tạm cho đợt điều tra thứ hai."
"CL_TPL_OBJECTIVE_TIMELINE","Put the morning back in order.","Sắp xếp lại trình tự buổi sáng."
"CL_TPL_OBJECTIVE_FINAL_CLAIM","Judge one last account against your timeline.","Đánh giá lời kể cuối cùng bằng dòng thời gian của bạn."
"LOC_TPL_DOCK_OFFICE_NAME","Dock office (template)","Văn phòng bến (mẫu)"
"LOC_TPL_CONTAINER_YARD_NAME","Container yard (template)","Bãi container (mẫu)"
"LOC_TPL_TOPIC_NADIA_FERRY","Her morning","Buổi sáng của cô ấy"
"LOC_TPL_TOPIC_NADIA_PHOTO","A photo from the ferry","Một tấm ảnh trên phà"
"LOC_TPL_TOPIC_FELIX_CONFRONT","""Your story doesn't hold.""","""Câu chuyện của anh không đứng vững."""
"LOC_TPL_TOPIC_GUS_FENCE","The cut fence","Hàng rào bị cắt"
"LOC_TPL_EXAMINE_SEAL_TERMINAL","Seal registry terminal","Máy tra cứu niêm phong"
"LOC_TPL_EXAMINE_PORT_MAP","Port map","Bản đồ cảng"
"LOC_TPL_EXAMINE_LOCKER_LOG","Locker log","Sổ tủ khóa"
"LOC_TPL_EXAMINE_CUT_FENCE","Cut fence","Hàng rào bị cắt"
"LOC_TPL_EXAMINE_WIRE_ENDS","Wire ends","Các đầu dây"
"LOC_TPL_EXAMINE_YARD_CAMERA","Yard camera (optional)","Camera bãi (tùy chọn)"
"LOC_TPL_DEST_YARD","Go to the container yard","Đến bãi container"
"LOC_TPL_DEST_OFFICE","Back to the dock office","Quay lại văn phòng bến"
"DLG_TPL_NADIA_FERRY_1","Placeholder: Nadia hands over the ferry gate record.","Tạm: Nadia đưa hồ sơ cổng phà."
"DLG_TPL_NADIA_PHOTO_1","Placeholder: Nadia shares her ferry photo.","Tạm: Nadia chia sẻ ảnh trên phà."
"DLG_TPL_FELIX_CONFRONT_1","Placeholder: Felix bristles — ask him anything.","Tạm: Felix nổi nóng — cứ hỏi anh ta."
"DLG_TPL_GUS_FENCE_1","Placeholder: Gus hands over the fence repair sheet.","Tạm: Gus đưa phiếu sửa hàng rào."
"DLG_TPL_PRESENT_GENERIC_1","Placeholder: ""Not sure what that has to do with me.""","Tạm: ""Không rõ thứ đó liên quan gì đến tôi."""
"DLG_TPL_EXAMINE_SEAL_TERMINAL_1","Placeholder: you print the seal registry.","Tạm: bạn in sổ niêm phong."
"DLG_TPL_EXAMINE_PORT_MAP_1","Placeholder: you note the travel times.","Tạm: bạn ghi lại thời gian di chuyển."
"DLG_TPL_EXAMINE_LOCKER_LOG_1","Placeholder: you copy the locker log.","Tạm: bạn sao sổ tủ khóa."
"DLG_TPL_EXAMINE_CUT_FENCE_1","Placeholder: you inspect the cut fence.","Tạm: bạn xem xét hàng rào bị cắt."
"DLG_TPL_EXAMINE_WIRE_ENDS_1","Placeholder: the wire ends bend outward.","Tạm: các đầu dây cong ra ngoài."
